course,unique,days,hour,room,instruction_mode,instructor,status,level
HIS f320T TEXAS HISTORY'S HISTORY-WB  (First term),80338,,,,Internet,"GORDON-GARTH, ISHAN E",open,Upper
HIS f331R RE-FORM ARAB EAST 1914-PRES-WB  (First term),80340,MTWTHF,11:30 a.m.-1:00 p.m.,,Internet,"AGBARIA, AHMAD",closed,Upper
HIS f346K COLONIAL LATIN AMERICA-WB  (First term),80345,,,,Internet,"MUNOZ ARBELAEZ, SANTIAGO",waitlisted,Upper
HIS f355N MAIN CURR AMER CUL TO 1865-WB  (First term),80350,,,,Internet,"THOMPSON, SHIRLEY E",closed,Upper
HIS f355S US CONSTITUTIONAL HISTORY-WB  (First term),80355,,,,Internet,"FOURMY, SIGNE P",cancelled,Upper
HIS f361E REBELS/RVOLUTN RUS HIST/LIT-WB  (First term),80360,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"ALEXANDROVA, MARINA",open,Upper
HIS f362C VIENNA: MEMORY/CITY: HON-AUT  (First term),80365,,,,Face-to-face,"HOELSCHER, STEVEN D",open; reserved,Upper
HIS f365G 27-HIST AMERICAN CHILDHOOD-WB  (First term),80370,MTWTHF,8:30 a.m.-11:00 a.m.,,Internet,"MINTZ, STEVEN",open,Upper
HIS s356K MAIN CR AMER CUL SINCE 1865-WB  (Second term),80445,,,,Internet,"BEASLEY, ALEX A",open,Upper
HIS s364E THE DEAD SEA SCROLLS-WB  (Second term),80450,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"BJOERU, OEYVIND",open,Upper
HIS w391C CONFERENCE COURSE-WB  (Whole term),80374,,,,Internet,,open; reserved,Graduate
HIS w393L QUALIFYING EXAMINATION-WB  (Whole term),80375,,,,Internet,,open,Graduate
HIS w698A THESIS-WB  (Whole term),80380,,,,Internet,,open,Graduate
HIS w698B THESIS-WB  (Whole term),80385,,,,Internet,,open,Graduate
HIS w398R MASTER'S REPORT-WB  (Whole term),80390,,,,Internet,,closed,Graduate
HIS w399W DISSERTATION  (Whole term),80395,,,,Face-to-face,,open,Graduate
HIS w699W DISSERTATION-WB  (Whole term),80400,,,,Internet,,open,Graduate
HIS w999W DISSERTATION-WB  (Whole term),80405,,,,Internet,,open,Graduate
HIS s393L QUALIFYING EXAMINATION  (Second term),80455,,,,Face-to-face,,open,Graduate
