course,unique,days,hour,room,instruction_mode,instructor,status,level
P A  355 FUNDRAISING FOR GOV/NPOS,65746,T,6:00 p.m.-9:00 p.m.,SRH 3.316,Face-to-face,"EATON, DAVID J",open,Upper
P A  355 SKILLS/WIN CAMPAIGNS/ELECTN,65748,TTH,12:15 p.m.-1:45 p.m.,SRH 3.B10,Face-to-face,"BHANDARI, EMILY",waitlisted,Upper
P A  345 REPRODUCTIVE HEALTH POLICY,65749,W,9:00 a.m.-12:00 p.m.,SRH 3.212,Face-to-face,"AIKEN, ABIGAIL ROSEMARY A",open,Upper
P A  159R 1-UT ENERGY SYMPOSIUM-WB,65750,T,12:30 p.m.-2:00 p.m.,,Internet,"KING, CAREY W",open,Upper
P A  380L CYBERSECURITY LAW/POLICY,65755,TTH,9:00 a.m.-10:30 a.m.,TNH 3.127,Face-to-face,"SPRINGER, DAVID BARTON",open; reserved,Graduate
"P A  380L SMNR: SURVLN, LIBERTY, PRIVACY",65760,M,2:30 p.m.-4:30 p.m.,JON 6.207,Face-to-face,"KLEIN, ADAM I",open; reserved,Graduate
P A  680PA BRIDGING DIVIDE IN TEXAS,65764,TH,2:00 p.m.-5:00 p.m.,SRH 3.212,Face-to-face,"NORTH, REBECCA J",waitlisted,Graduate
P A  680PA MAPPING DISASTER NETWORK,65765,TH,2:00 p.m.-5:00 p.m.,SRH 3.216,Face-to-face,"THOMAS, HERSCHEL F III",closed,Graduate
P A  680PA POLICY RESEARCH LAB,65770,T,2:00 p.m.-5:00 p.m.,SRH 3.B10,Face-to-face,"PEDIGO, STEVEN WAYNE",closed,Graduate
P A  680WB APPRENTICESHP IN PUBLIC POL-DC,65775,,,,Face-to-face,"SHUTE, BILL",open; reserved,Graduate
P A  680WB APPRENTICESHP IN PUBLIC POL-DC,65780,,,,Face-to-face,"SHUTE, BILL",open; reserved,Graduate
P A  381W FED BUDGET/GOVT FINANCE-DC,65785,M,6:00 p.m.-9:00 p.m.,,Face-to-face,"ELTRICH, KATE A",open; reserved,Graduate
P A  381W FED BUDGET/GOVT FINANCE-DC,65790,M,6:00 p.m.-9:00 p.m.,,Face-to-face,"ELTRICH, KATE A",open; reserved,Graduate
P A  682GA IMPLEMENTATION OF ENVIR TECH,65795,M,6:00 p.m.-9:00 p.m.,SRH 3.316,Face-to-face,"EATON, DAVID J",open,Graduate
P A  682GA POLICY FOR A PUBLICFOOD SYSTEM,65800,M,6:00 p.m.-9:00 p.m.,SRH 3.216,Face-to-face,"PATEL, RAJEEV CHARLES",closed,Graduate
P A  682GA UKRAIN SCTR RFRM FOR EU INTEGR,65805,T,2:00 p.m.-5:00 p.m.,SRH 3.314,Face-to-face,"SHAH, SACHIN DINESH",closed,Graduate
P A  383D POLITICS AND PROCESS,65810,M,9:00 a.m.-12:00 p.m.,SRH 3.B10,Face-to-face,"GUNDERSON, ANNA",open; reserved,Graduate
P A  383D POLITICS AND PROCESS,65815,T,2:00 p.m.-5:00 p.m.,SRH 3.124,Face-to-face,"THOMAS, HERSCHEL F III",open; reserved,Graduate
P A  384D PUBLIC MANAGEMENT,65820,T,9:00 a.m.-12:00 p.m.,SRH 3.212,Face-to-face,"BELL, ELIZABETH A",open; reserved,Graduate
P A  384D PUBLIC MANAGEMENT,65825,W,9:00 a.m.-12:00 p.m.,,Face-to-face,"BELL, ELIZABETH A",cancelled,Graduate
P A  384D PUBLIC MANAGEMENT,65830,W,2:00 p.m.-5:00 p.m.,SRH 3.212,Face-to-face,"ABNER, GORDON B",open; reserved,Graduate
P A  385C FEDERAL PUBLIC MGMT-DC,65835,W,6:00 p.m.-9:00 p.m.,,Face-to-face,"CORNELIUS, MATTHEW TATE",open; reserved,Graduate
P A  385C FEDERAL PUBLIC MGMT-DC,65840,W,6:00 p.m.-9:00 p.m.,,Face-to-face,"CORNELIUS, MATTHEW TATE",open; reserved,Graduate
P A  385D ARTS MANAGEMENT,65845,T,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",open; reserved,Graduate
P A  385D MANAGING GLOBAL PUBLIC AFFAIRS,65850,TH,9:00 a.m.-12:00 p.m.,SRH 3.314,Face-to-face,"ANDRE, LARRY",open; reserved,Graduate
P A  385D NONPROFIT MANAGEMENT AND STRAT,65855,T,9:00 a.m.-12:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",open; reserved,Graduate
P A  385D POLICY MAKING/LEADERSHIP,65859,MTWTHF,5:00 p.m.-8:00 p.m.,SRH 3.124,Face-to-face,"MCRAVEN, WILLIAM H GILL, MATTHEW",open; reserved,Graduate
P A  385D SUSTAINBLTY/SCI/POLICY/GOV,65860,W,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"BIXLER, RICHARD PATRICK",open; reserved,Graduate
P A  387G NATURE OF THE INTERNATL SYSTEM,65865,W,9:00 a.m.-12:00 p.m.,SRH 3.214,Face-to-face,"REDEI, LORINC",open; reserved,Graduate
P A  387G NATURE OF THE INTERNATL SYSTEM,65870,M,9:00 a.m.-12:00 p.m.,SRH 3.212,Face-to-face,"REDEI, LORINC",open; reserved,Graduate
P A  387G NATURE OF THE INTERNATL SYSTEM,65875,M,2:00 p.m.-5:00 p.m.,SRH 3.214,Face-to-face,"BUSBY, JOSHUA W",open; reserved,Graduate
P A  388K ADV SEM: NETWORKS IN EDU,65880,W,9:00 a.m.-12:00 p.m.,SZB 3.222,Face-to-face,"CHILDS, JOSHUA",open; reserved,Graduate
P A  388K ADV TPCS WATER LAW/POLICY,65884,T,3:45 p.m.-6:45 p.m.,JON 6.257,Face-to-face,"COHEN, JANE M",open; reserved,Graduate
P A  388K AGING/HLTH/SOCIAL WLFR,65885,M,9:00 a.m.-12:00 p.m.,SRH 3.216,Face-to-face,"ANGEL, JACQUELINE L",open; reserved,Graduate
P A  388K AI/INNOVATION/TECH POLICY,65890,M,2:00 p.m.-5:00 p.m.,SRH 3.B7,Face-to-face,"RAI, VARUN",open; reserved,Graduate
P A  388K AMERICA'S THIRD RECONSTRUCTN,65895,T,9:30 a.m.-12:30 p.m.,SRH 3.216,Face-to-face,"JOSEPH, PENIEL E",open; reserved,Graduate
P A  388K APP ENGR DATA ANLYS/OPT/VIS,65900,TTH,2:00 p.m.-3:30 p.m.,SRH 3.124,Face-to-face,"RHODES, JOSHUA D",cancelled,Graduate
P A  388K CIVIL RTS MOV/PUBL POLICY,65905,W,9:00 a.m.-12:00 p.m.,SRH 3.247,Face-to-face,"JOSEPH, PENIEL E",open; reserved,Graduate
P A  388K CLIMATE ADAPTATION/MITIGATN,65908,W,2:00 p.m.-5:00 p.m.,SUT 2.114,Face-to-face,"CANO PECHARROMAN, LIDIA",open; reserved,Graduate
P A  388K CLB LDRSHP THR PUB/PRV PRTN,65909,M,2:30 p.m.-5:30 p.m.,BEN 1.126,Face-to-face,"JORDAN, STACEY E",open; reserved,Graduate
